id,text_for_llm
17,"Employee 17 is a Female working as a Intermediate in the IT sector. Based in a City area, they have a PhD degree and hold certifications in Microsoft Azure Fundamentals. They currently operate in a Hybrid capacity at a Mid-sized Company."
18,"Employee 18 is a Female working as a Experienced in the IT sector. Based in a Rural area, they have a High School degree and hold certifications in TensorFlow Developer Certificate. They currently operate in a Hybrid capacity at a Remote-first / Distributed CompanyResearch & Development (R&D) Institution."
19,"Employee 19 is a Female working as a Working professional in the IT sector. Based in a City area, they have a High School degree and hold certifications in Oracle Certified Java Programmer. They currently operate in a Full-Time capacity at a Consultancy Firm."
20,"Employee 20 is a Male working as a Experienced in the CA sector. Based in a City area, they have a Professional Certification degree and hold certifications in TensorFlow Developer Certificate. They currently operate in a Hybrid capacity at a Contract / Temporary Employment."
21,"Employee 21 is a Male working as a Fresher in the CA sector. Based in a City area, they have a Professional Certification degree and hold certifications in CompTIA Security+. They currently operate in a Hybrid capacity at a Scale-up (growing startup)."
22,"Employee 22 is a Male working as a Working professional in the Digital marketing sector. Based in a City area, they have a Professional Certification degree and hold certifications in Lean Six Sigma. They currently operate in a Hybrid capacity at a Consultancy Firm."
23,"Employee 23 is a Male working as a Fresher in the Finance sector. Based in a City area, they have a PhD degree and hold certifications in Google Cloud Professional Engineer. They currently operate in a Hybrid capacity at a Consultancy Firm."
24,"Employee 24 is a Male working as a Experienced in the Finance sector. Based in a Rural area, they have a Master's Degree degree and hold certifications in Certified Data Scientist. They currently operate in a Full-Time capacity at a Freelancing / Self-employed."
25,"Employee 25 is a Male working as a Experienced in the Finance sector. Based in a Metro area, they have a Master's Degree degree and hold certifications in Google Cloud Professional Engineer. They currently operate in a Full-Time capacity at a Freelancing / Self-employed."
26,"Employee 26 is a Male working as a Fresher in the Digital marketing sector. Based in a Rural area, they have a High School degree and hold certifications in CFA (Chartered Financial Analyst). They currently operate in a Full-Time capacity at a Government Organization."
27,"Employee 27 is a Female working as a Experienced in the IT sector. Based in a City area, they have a High School degree and hold certifications in Certified Data Scientist. They currently operate in a Hybrid capacity at a Outsourcing / Service-based Company."
28,"Employee 28 is a Male working as a Intermediate in the Digital marketing sector. Based in a Rural area, they have a Professional Certification degree and hold certifications in Google Cloud Professional Engineer. They currently operate in a Remote capacity at a Freelancing / Self-employed."
29,"Employee 29 is a Female working as a Working professional in the Digital marketing sector. Based in a Rural area, they have a High School degree and hold certifications in PMP (Project Management Professional). They currently operate in a Hybrid capacity at a Consultancy Firm."
30,"Employee 30 is a Female working as a Intermediate in the IT sector. Based in a City area, they have a Bachelor's Degree degree and hold certifications in TensorFlow Developer Certificate. They currently operate in a Remote capacity at a Mid-sized Company."
31,"Employee 31 is a Male working as a Working professional in the CA sector. Based in a Metro area, they have a Master's Degree degree and hold certifications in TensorFlow Developer Certificate. They currently operate in a Full-Time capacity at a Government Organization."
32,"Employee 32 is a Female working as a Intermediate in the IT sector. Based in a City area, they have a PhD degree and hold certifications in Microsoft Azure Fundamentals. They currently operate in a Remote capacity at a Startup (early-stage)."
33,"Employee 33 is a Female working as a Intermediate in the Digital marketing sector. Based in a Metro area, they have a High School degree and hold certifications in CompTIA Security+. They currently operate in a Full-Time capacity at a Small Business / Local Firm."
34,"Employee 34 is a Male working as a Fresher in the Digital marketing sector. Based in a City area, they have a Master's Degree degree and hold certifications in Certified Data Scientist. They currently operate in a Full-Time capacity at a Non-Profit / NGO."
35,"Employee 35 is a Male working as a Experienced in the Finance sector. Based in a Rural area, they have a High School degree and hold certifications in Cisco CCNA. They currently operate in a Full-Time capacity at a Freelancing / Self-employed."
36,"Employee 36 is a Female working as a Working professional in the IT sector. Based in a City area, they have a PhD degree and hold certifications in AWS Certified Solutions Architect. They currently operate in a Hybrid capacity at a Outsourcing / Service-based Company."
37,"Employee 37 is a Female working as a Working professional in the CA sector. Based in a Rural area, they have a High School degree and hold certifications in TensorFlow Developer Certificate. They currently operate in a Remote capacity at a Government Organization."
38,"Employee 38 is a Female working as a Fresher in the CA sector. Based in a Metro area, they have a Professional Certification degree and hold certifications in Microsoft Azure Fundamentals. They currently operate in a Full-Time capacity at a Small Business / Local Firm."
39,"Employee 39 is a Female working as a Intermediate in the CA sector. Based in a City area, they have a Professional Certification degree and hold certifications in Microsoft Azure Fundamentals. They currently operate in a Hybrid capacity at a Mid-sized Company."
40,"Employee 40 is a Female working as a Intermediate in the IT sector. Based in a Metro area, they have a Bachelor's Degree degree and hold certifications in Oracle Certified Java Programmer. They currently operate in a Hybrid capacity at a Government Organization."
41,"Employee 41 is a Female working as a Working professional in the Finance sector. Based in a City area, they have a Bachelor's Degree degree and hold certifications in Lean Six Sigma. They currently operate in a Full-Time capacity at a Remote-first / Distributed CompanyResearch & Development (R&D) Institution."
42,"Employee 42 is a Male working as a Intermediate in the CA sector. Based in a Metro area, they have a Master's Degree degree and hold certifications in CFA (Chartered Financial Analyst). They currently operate in a Remote capacity at a Small Business / Local Firm."
43,"Employee 43 is a Female working as a Fresher in the Finance sector. Based in a City area, they have a Master's Degree degree and hold certifications in AWS Certified Solutions Architect. They currently operate in a Remote capacity at a Freelancing / Self-employed."
44,"Employee 44 is a Female working as a Experienced in the Digital marketing sector. Based in a Rural area, they have a PhD degree and hold certifications in Lean Six Sigma. They currently operate in a Hybrid capacity at a Non-Profit / NGO."
45,"Employee 45 is a Male working as a Fresher in the IT sector. Based in a Rural area, they have a Master's Degree degree and hold certifications in PMP (Project Management Professional). They currently operate in a Full-Time capacity at a Freelancing / Self-employed."
46,"Employee 46 is a Male working as a Intermediate in the CA sector. Based in a City area, they have a Bachelor's Degree degree and hold certifications in Oracle Certified Java Programmer. They currently operate in a Hybrid capacity at a Large Enterprise."
47,"Employee 47 is a Male working as a Intermediate in the Finance sector. Based in a Metro area, they have a High School degree and hold certifications in Certified Data Scientist. They currently operate in a Full-Time capacity at a Government Organization."
48,"Employee 48 is a Male working as a Fresher in the Finance sector. Based in a Rural area, they have a PhD degree and hold certifications in Microsoft Azure Fundamentals. They currently operate in a Full-Time capacity at a Large Enterprise."
49,"Employee 49 is a Male working as a Working professional in the Digital marketing sector. Based in a City area, they have a Diploma degree and hold certifications in AWS Certified Solutions Architect. They currently operate in a Full-Time capacity at a Large Enterprise."
50,"Employee 50 is a Male working as a Experienced in the IT sector. Based in a Metro area, they have a PhD degree and hold certifications in Google Cloud Professional Engineer. They currently operate in a Hybrid capacity at a Freelancing / Self-employed."
51,"Employee 51 is a Male working as a Intermediate in the CA sector. Based in a City area, they have a High School degree and hold certifications in CFA (Chartered Financial Analyst). They currently operate in a Hybrid capacity at a Non-Profit / NGO."
52,"Employee 52 is a Female working as a Working professional in the IT sector. Based in a City area, they have a Professional Certification degree and hold certifications in TensorFlow Developer Certificate. They currently operate in a Full-Time capacity at a Startup (early-stage)."
53,"Employee 53 is a Male working as a Working professional in the IT sector. Based in a Rural area, they have a Professional Certification degree and hold certifications in Microsoft Azure Fundamentals. They currently operate in a Hybrid capacity at a Freelancing / Self-employed."
54,"Employee 54 is a Male working as a Intermediate in the IT sector. Based in a Rural area, they have a Diploma degree and hold certifications in PMP (Project Management Professional). They currently operate in a Full-Time capacity at a Outsourcing / Service-based Company."
55,"Employee 55 is a Female working as a Fresher in the Digital marketing sector. Based in a City area, they have a Bachelor's Degree degree and hold certifications in CompTIA Security+. They currently operate in a Hybrid capacity at a Government Organization."
56,"Employee 56 is a Male working as a Fresher in the Digital marketing sector. Based in a City area, they have a Master's Degree degree and hold certifications in Cisco CCNA. They currently operate in a Full-Time capacity at a Scale-up (growing startup)."
57,"Employee 57 is a Male working as a Intermediate in the IT sector. Based in a Rural area, they have a Diploma degree and hold certifications in TensorFlow Developer Certificate. They currently operate in a Hybrid capacity at a Big MNC (Multinational Corporation)."
58,"Employee 58 is a Male working as a Fresher in the Digital marketing sector. Based in a Rural area, they have a High School degree and hold certifications in TensorFlow Developer Certificate. They currently operate in a Full-Time capacity at a Large Enterprise."
59,"Employee 59 is a Female working as a Intermediate in the CA sector. Based in a Rural area, they have a Professional Certification degree and hold certifications in TensorFlow Developer Certificate. They currently operate in a Remote capacity at a Large Enterprise."
60,"Employee 60 is a Male working as a Experienced in the CA sector. Based in a City area, they have a Diploma degree and hold certifications in Google Cloud Professional Engineer. They currently operate in a Hybrid capacity at a Freelancing / Self-employed."
61,"Employee 61 is a Male working as a Intermediate in the Finance sector. Based in a Metro area, they have a Diploma degree and hold certifications in AWS Certified Solutions Architect. They currently operate in a Hybrid capacity at a Mid-sized Company."
62,"Employee 62 is a Male working as a Intermediate in the IT sector. Based in a City area, they have a Professional Certification degree and hold certifications in Google Cloud Professional Engineer. They currently operate in a Hybrid capacity at a Consultancy Firm."
63,"Employee 63 is a Female working as a Experienced in the IT sector. Based in a City area, they have a Master's Degree degree and hold certifications in CompTIA Security+. They currently operate in a Hybrid capacity at a Big MNC (Multinational Corporation)."
64,"Employee 64 is a Female working as a Fresher in the Finance sector. Based in a Metro area, they have a Diploma degree and hold certifications in Microsoft Azure Fundamentals. They currently operate in a Remote capacity at a Mid-sized Company."
65,"Employee 65 is a Male working as a Intermediate in the Finance sector. Based in a Metro area, they have a Bachelor's Degree degree and hold certifications in PMP (Project Management Professional). They currently operate in a Remote capacity at a Government Organization."
66,"Employee 66 is a Female working as a Working professional in the CA sector. Based in a Metro area, they have a High School degree and hold certifications in CFA (Chartered Financial Analyst). They currently operate in a Remote capacity at a Small Business / Local Firm."
67,"Employee 67 is a Male working as a Fresher in the CA sector. Based in a City area, they have a Bachelor's Degree degree and hold certifications in Certified Data Scientist. They currently operate in a Hybrid capacity at a Non-Profit / NGO."
68,"Employee 68 is a Female working as a Fresher in the Finance sector. Based in a Rural area, they have a PhD degree and hold certifications in TensorFlow Developer Certificate. They currently operate in a Remote capacity at a Consultancy Firm."
69,"Employee 69 is a Female working as a Working professional in the CA sector. Based in a Metro area, they have a Master's Degree degree and hold certifications in Oracle Certified Java Programmer. They currently operate in a Remote capacity at a Outsourcing / Service-based Company."
70,"Employee 70 is a Female working as a Intermediate in the Digital marketing sector. Based in a Rural area, they have a High School degree and hold certifications in TensorFlow Developer Certificate. They currently operate in a Full-Time capacity at a Consultancy Firm."
71,"Employee 71 is a Female working as a Intermediate in the Digital marketing sector. Based in a City area, they have a Diploma degree and hold certifications in Google Cloud Professional Engineer. They currently operate in a Remote capacity at a Small Business / Local Firm."
72,"Employee 72 is a Female working as a Intermediate in the IT sector. Based in a Metro area, they have a Bachelor's Degree degree and hold certifications in Google Cloud Professional Engineer. They currently operate in a Remote capacity at a Contract / Temporary Employment."
73,"Employee 73 is a Male working as a Experienced in the CA sector. Based in a City area, they have a Diploma degree and hold certifications in TensorFlow Developer Certificate. They currently operate in a Full-Time capacity at a Freelancing / Self-employed."
74,"Employee 74 is a Male working as a Working professional in the IT sector. Based in a Rural area, they have a High School degree and hold certifications in CFA (Chartered Financial Analyst). They currently operate in a Hybrid capacity at a Startup (early-stage)."
75,"Employee 75 is a Male working as a Fresher in the IT sector. Based in a City area, they have a PhD degree and hold certifications in Cisco CCNA. They currently operate in a Full-Time capacity at a Startup (early-stage)."
76,"Employee 76 is a Female working as a Intermediate in the Finance sector. Based in a Rural area, they have a Professional Certification degree and hold certifications in Oracle Certified Java Programmer. They currently operate in a Full-Time capacity at a Large Enterprise."
77,"Employee 77 is a Male working as a Working professional in the Finance sector. Based in a Rural area, they have a PhD degree and hold certifications in Google Cloud Professional Engineer. They currently operate in a Hybrid capacity at a Big MNC (Multinational Corporation)."
78,"Employee 78 is a Male working as a Working professional in the CA sector. Based in a Rural area, they have a PhD degree and hold certifications in Cisco CCNA. They currently operate in a Remote capacity at a Big MNC (Multinational Corporation)."
79,"Employee 79 is a Female working as a Experienced in the Digital marketing sector. Based in a Metro area, they have a PhD degree and hold certifications in Microsoft Azure Fundamentals. They currently operate in a Remote capacity at a Contract / Temporary Employment."
80,"Employee 80 is a Male working as a Intermediate in the Finance sector. Based in a Rural area, they have a Master's Degree degree and hold certifications in Cisco CCNA. They currently operate in a Hybrid capacity at a Government Organization."
81,"Employee 81 is a Female working as a Working professional in the Digital marketing sector. Based in a Metro area, they have a High School degree and hold certifications in Lean Six Sigma. They currently operate in a Hybrid capacity at a Mid-sized Company."
82,"Employee 82 is a Female working as a Experienced in the Digital marketing sector. Based in a Rural area, they have a High School degree and hold certifications in Certified Data Scientist. They currently operate in a Hybrid capacity at a Startup (early-stage)."
83,"Employee 83 is a Male working as a Intermediate in the Digital marketing sector. Based in a City area, they have a High School degree and hold certifications in Oracle Certified Java Programmer. They currently operate in a Hybrid capacity at a Remote-first / Distributed CompanyResearch & Development (R&D) Institution."
84,"Employee 84 is a Male working as a Working professional in the CA sector. Based in a City area, they have a PhD degree and hold certifications in Oracle Certified Java Programmer. They currently operate in a Full-Time capacity at a Remote-first / Distributed CompanyResearch & Development (R&D) Institution."
85,"Employee 85 is a Female working as a Fresher in the Finance sector. Based in a Metro area, they have a High School degree and hold certifications in AWS Certified Solutions Architect. They currently operate in a Hybrid capacity at a Non-Profit / NGO."
86,"Employee 86 is a Female working as a Working professional in the Finance sector. Based in a Rural area, they have a Diploma degree and hold certifications in Google Cloud Professional Engineer. They currently operate in a Full-Time capacity at a Startup (early-stage)."
87,"Employee 87 is a Male working as a Working professional in the CA sector. Based in a City area, they have a Bachelor's Degree degree and hold certifications in Cisco CCNA. They currently operate in a Full-Time capacity at a Big MNC (Multinational Corporation)."
88,"Employee 88 is a Female working as a Fresher in the IT sector. Based in a City area, they have a High School degree and hold certifications in CompTIA Security+. They currently operate in a Hybrid capacity at a Small Business / Local Firm."
89,"Employee 89 is a Female working as a Experienced in the IT sector. Based in a Metro area, they have a Bachelor's Degree degree and hold certifications in Oracle Certified Java Programmer. They currently operate in a Remote capacity at a Startup (early-stage)."
90,"Employee 90 is a Male working as a Working professional in the Digital marketing sector. Based in a Rural area, they have a Professional Certification degree and hold certifications in CompTIA Security+. They currently operate in a Hybrid capacity at a Mid-sized Company."
91,"Employee 91 is a Male working as a Working professional in the Finance sector. Based in a City area, they have a Diploma degree and hold certifications in AWS Certified Solutions Architect. They currently operate in a Hybrid capacity at a Non-Profit / NGO."
92,"Employee 92 is a Male working as a Experienced in the IT sector. Based in a Rural area, they have a Bachelor's Degree degree and hold certifications in Cisco CCNA. They currently operate in a Remote capacity at a Large Enterprise."
93,"Employee 93 is a Female working as a Fresher in the CA sector. Based in a Metro area, they have a Diploma degree and hold certifications in Lean Six Sigma. They currently operate in a Hybrid capacity at a Large Enterprise."
94,"Employee 94 is a Female working as a Experienced in the CA sector. Based in a City area, they have a Bachelor's Degree degree and hold certifications in Microsoft Azure Fundamentals. They currently operate in a Hybrid capacity at a Government Organization."
95,"Employee 95 is a Male working as a Intermediate in the IT sector. Based in a City area, they have a Master's Degree degree and hold certifications in Microsoft Azure Fundamentals. They currently operate in a Hybrid capacity at a Large Enterprise."
96,"Employee 96 is a Female working as a Working professional in the IT sector. Based in a Metro area, they have a Professional Certification degree and hold certifications in Lean Six Sigma. They currently operate in a Full-Time capacity at a Small Business / Local Firm."
97,"Employee 97 is a Male working as a Fresher in the IT sector. Based in a Metro area, they have a Diploma degree and hold certifications in Certified Data Scientist. They currently operate in a Remote capacity at a Non-Profit / NGO."
98,"Employee 98 is a Female working as a Fresher in the Finance sector. Based in a City area, they have a Master's Degree degree and hold certifications in CompTIA Security+. They currently operate in a Remote capacity at a Contract / Temporary Employment."
99,"Employee 99 is a Female working as a Intermediate in the Digital marketing sector. Based in a City area, they have a PhD degree and hold certifications in TensorFlow Developer Certificate. They currently operate in a Hybrid capacity at a Scale-up (growing startup)."
100,"Employee 100 is a Female working as a Intermediate in the Finance sector. Based in a Metro area, they have a Master's Degree degree and hold certifications in Oracle Certified Java Programmer. They currently operate in a Hybrid capacity at a Government Organization."
101,"Employee 101 is a Male working as a Intermediate in the Digital marketing sector. Based in a Metro area, they have a Diploma degree and hold certifications in Cisco CCNA. They currently operate in a Full-Time capacity at a Government Organization."
102,"Employee 102 is a Male working as a Intermediate in the IT sector. Based in a Rural area, they have a High School degree and hold certifications in Oracle Certified Java Programmer. They currently operate in a Hybrid capacity at a Consultancy Firm."
103,"Employee 103 is a Female working as a Experienced in the IT sector. Based in a City area, they have a Diploma degree and hold certifications in Microsoft Azure Fundamentals. They currently operate in a Remote capacity at a Remote-first / Distributed CompanyResearch & Development (R&D) Institution."
104,"Employee 104 is a Female working as a Working professional in the Finance sector. Based in a Rural area, they have a Professional Certification degree and hold certifications in Cisco CCNA. They currently operate in a Hybrid capacity at a Big MNC (Multinational Corporation)."
105,"Employee 105 is a Male working as a Intermediate in the IT sector. Based in a Rural area, they have a Master's Degree degree and hold certifications in Certified Data Scientist. They currently operate in a Hybrid capacity at a Remote-first / Distributed CompanyResearch & Development (R&D) Institution."
106,"Employee 106 is a Female working as a Intermediate in the CA sector. Based in a City area, they have a Diploma degree and hold certifications in Oracle Certified Java Programmer. They currently operate in a Remote capacity at a Mid-sized Company."
107,"Employee 107 is a Female working as a Fresher in the Digital marketing sector. Based in a Metro area, they have a Diploma degree and hold certifications in AWS Certified Solutions Architect. They currently operate in a Hybrid capacity at a Outsourcing / Service-based Company."
108,"Employee 108 is a Male working as a Fresher in the CA sector. Based in a Rural area, they have a Diploma degree and hold certifications in AWS Certified Solutions Architect. They currently operate in a Remote capacity at a Freelancing / Self-employed."
109,"Employee 109 is a Male working as a Intermediate in the Digital marketing sector. Based in a City area, they have a Diploma degree and hold certifications in CompTIA Security+. They currently operate in a Remote capacity at a Product-based Company."
110,"Employee 110 is a Male working as a Experienced in the IT sector. Based in a Rural area, they have a Professional Certification degree and hold certifications in Oracle Certified Java Programmer. They currently operate in a Full-Time capacity at a Startup (early-stage)."
111,"Employee 111 is a Male working as a Fresher in the Finance sector. Based in a Metro area, they have a Professional Certification degree and hold certifications in Certified Data Scientist. They currently operate in a Full-Time capacity at a Government Organization."
112,"Employee 112 is a Female working as a Working professional in the Finance sector. Based in a Rural area, they have a Bachelor's Degree degree and hold certifications in Oracle Certified Java Programmer. They currently operate in a Full-Time capacity at a Startup (early-stage)."
113,"Employee 113 is a Female working as a Working professional in the IT sector. Based in a City area, they have a Master's Degree degree and hold certifications in Lean Six Sigma. They currently operate in a Full-Time capacity at a Consultancy Firm."
114,"Employee 114 is a Female working as a Fresher in the IT sector. Based in a Rural area, they have a Professional Certification degree and hold certifications in Microsoft Azure Fundamentals. They currently operate in a Hybrid capacity at a Startup (early-stage)."
115,"Employee 115 is a Female working as a Experienced in the Finance sector. Based in a Rural area, they have a PhD degree and hold certifications in CFA (Chartered Financial Analyst). They currently operate in a Remote capacity at a Government Organization."
116,"Employee 116 is a Male working as a Fresher in the Finance sector. Based in a City area, they have a PhD degree and hold certifications in CompTIA Security+. They currently operate in a Hybrid capacity at a Scale-up (growing startup)."
117,"Employee 117 is a Male working as a Experienced in the Digital marketing sector. Based in a City area, they have a PhD degree and hold certifications in Oracle Certified Java Programmer. They currently operate in a Remote capacity at a Small Business / Local Firm."
118,"Employee 118 is a Female working as a Fresher in the Digital marketing sector. Based in a Metro area, they have a PhD degree and hold certifications in AWS Certified Solutions Architect. They currently operate in a Full-Time capacity at a Mid-sized Company."
119,"Employee 119 is a Female working as a Intermediate in the IT sector. Based in a Rural area, they have a High School degree and hold certifications in TensorFlow Developer Certificate. They currently operate in a Hybrid capacity at a Freelancing / Self-employed."
120,"Employee 120 is a Female working as a Working professional in the CA sector. Based in a Metro area, they have a PhD degree and hold certifications in Certified Data Scientist. They currently operate in a Full-Time capacity at a Non-Profit / NGO."
121,"Employee 121 is a Male working as a Fresher in the Digital marketing sector. Based in a Rural area, they have a Bachelor's Degree degree and hold certifications in Google Cloud Professional Engineer. They currently operate in a Remote capacity at a Product-based Company."
122,"Employee 122 is a Male working as a Intermediate in the IT sector. Based in a Metro area, they have a Master's Degree degree and hold certifications in CFA (Chartered Financial Analyst). They currently operate in a Full-Time capacity at a Product-based Company."
123,"Employee 123 is a Female working as a Experienced in the CA sector. Based in a Metro area, they have a Bachelor's Degree degree and hold certifications in Certified Data Scientist. They currently operate in a Remote capacity at a Freelancing / Self-employed."
124,"Employee 124 is a Female working as a Working professional in the CA sector. Based in a City area, they have a Professional Certification degree and hold certifications in Microsoft Azure Fundamentals. They currently operate in a Hybrid capacity at a Small Business / Local Firm."
125,"Employee 125 is a Female working as a Experienced in the Finance sector. Based in a City area, they have a Professional Certification degree and hold certifications in Cisco CCNA. They currently operate in a Full-Time capacity at a Scale-up (growing startup)."
126,"Employee 126 is a Female working as a Working professional in the Digital marketing sector. Based in a Rural area, they have a PhD degree and hold certifications in Certified Data Scientist. They currently operate in a Remote capacity at a Product-based Company."
127,"Employee 127 is a Male working as a Experienced in the IT sector. Based in a City area, they have a Professional Certification degree and hold certifications in AWS Certified Solutions Architect. They currently operate in a Full-Time capacity at a Mid-sized Company."
128,"Employee 128 is a Female working as a Fresher in the IT sector. Based in a Rural area, they have a Master's Degree degree and hold certifications in Cisco CCNA. They currently operate in a Remote capacity at a Government Organization."
129,"Employee 129 is a Female working as a Intermediate in the Finance sector. Based in a Rural area, they have a PhD degree and hold certifications in Oracle Certified Java Programmer. They currently operate in a Remote capacity at a Consultancy Firm."
130,"Employee 130 is a Female working as a Working professional in the CA sector. Based in a City area, they have a Master's Degree degree and hold certifications in Microsoft Azure Fundamentals. They currently operate in a Full-Time capacity at a Scale-up (growing startup)."
131,"Employee 131 is a Female working as a Experienced in the Finance sector. Based in a Metro area, they have a Bachelor's Degree degree and hold certifications in Microsoft Azure Fundamentals. They currently operate in a Full-Time capacity at a Big MNC (Multinational Corporation)."
132,"Employee 132 is a Male working as a Intermediate in the Finance sector. Based in a City area, they have a PhD degree and hold certifications in Lean Six Sigma. They currently operate in a Hybrid capacity at a Product-based Company."
133,"Employee 133 is a Female working as a Experienced in the Finance sector. Based in a City area, they have a Professional Certification degree and hold certifications in TensorFlow Developer Certificate. They currently operate in a Hybrid capacity at a Big MNC (Multinational Corporation)."
134,"Employee 134 is a Male working as a Experienced in the Finance sector. Based in a City area, they have a High School degree and hold certifications in CompTIA Security+. They currently operate in a Full-Time capacity at a Contract / Temporary Employment."
135,"Employee 135 is a Female working as a Working professional in the CA sector. Based in a Rural area, they have a Diploma degree and hold certifications in Cisco CCNA. They currently operate in a Hybrid capacity at a Outsourcing / Service-based Company."
136,"Employee 136 is a Female working as a Experienced in the Digital marketing sector. Based in a Rural area, they have a Master's Degree degree and hold certifications in TensorFlow Developer Certificate. They currently operate in a Full-Time capacity at a Startup (early-stage)."
137,"Employee 137 is a Male working as a Fresher in the CA sector. Based in a Metro area, they have a Master's Degree degree and hold certifications in CompTIA Security+. They currently operate in a Full-Time capacity at a Government Organization."
138,"Employee 138 is a Female working as a Experienced in the IT sector. Based in a Rural area, they have a Diploma degree and hold certifications in AWS Certified Solutions Architect. They currently operate in a Hybrid capacity at a Government Organization."
139,"Employee 139 is a Male working as a Working professional in the Finance sector. Based in a City area, they have a Bachelor's Degree degree and hold certifications in CFA (Chartered Financial Analyst). They currently operate in a Hybrid capacity at a Consultancy Firm."
140,"Employee 140 is a Female working as a Intermediate in the Digital marketing sector. Based in a City area, they have a Bachelor's Degree degree and hold certifications in TensorFlow Developer Certificate. They currently operate in a Full-Time capacity at a Non-Profit / NGO."
141,"Employee 141 is a Female working as a Experienced in the Finance sector. Based in a City area, they have a High School degree and hold certifications in Microsoft Azure Fundamentals. They currently operate in a Hybrid capacity at a Government Organization."
142,"Employee 142 is a Female working as a Experienced in the Finance sector. Based in a Rural area, they have a Diploma degree and hold certifications in TensorFlow Developer Certificate. They currently operate in a Full-Time capacity at a Small Business / Local Firm."
143,"Employee 143 is a Female working as a Fresher in the Digital marketing sector. Based in a Metro area, they have a PhD degree and hold certifications in Oracle Certified Java Programmer. They currently operate in a Hybrid capacity at a Large Enterprise."
144,"Employee 144 is a Female working as a Working professional in the IT sector. Based in a Rural area, they have a High School degree and hold certifications in PMP (Project Management Professional). They currently operate in a Full-Time capacity at a Large Enterprise."
145,"Employee 145 is a Male working as a Fresher in the IT sector. Based in a Rural area, they have a Master's Degree degree and hold certifications in Oracle Certified Java Programmer. They currently operate in a Full-Time capacity at a Contract / Temporary Employment."
146,"Employee 146 is a Female working as a Working professional in the Finance sector. Based in a Rural area, they have a Master's Degree degree and hold certifications in CFA (Chartered Financial Analyst). They currently operate in a Remote capacity at a Scale-up (growing startup)."
147,"Employee 147 is a Female working as a Experienced in the Finance sector. Based in a Rural area, they have a High School degree and hold certifications in Oracle Certified Java Programmer. They currently operate in a Hybrid capacity at a Outsourcing / Service-based Company."
